FL_DATE,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
2018-11-21,379106.0,152746.0,8566.0,119364.0,1024.0,177682.0
2016-01-19,216992.0,88688.0,3618.0,68820.0,48.0,110692.0
2016-03-15,132584.0,73318.0,2838.0,52284.0,172.0,63558.0
2018-07-22,874258.0,235424.0,77992.0,304390.0,1644.0,374126.0
2018-10-21,280848.0,138594.0,5624.0,74472.0,372.0,133778.0
2016-03-25,355966.0,118738.0,13962.0,89614.0,830.0,158924.0
2018-07-10,406262.0,151628.0,40490.0,87092.0,432.0,203064.0
2018-07-08,319422.0,144720.0,10448.0,60738.0,1408.0,165444.0
2016-01-21,202836.0,99002.0,8256.0,58752.0,248.0,107490.0
2018-11-04,134476.0,114968.0,10574.0,49412.0,266.0,76092.0
2018-11-16,984184.0,297676.0,43614.0,176936.0,930.0,461716.0
2018-11-29,308224.0,117224.0,8054.0,135854.0,306.0,178880.0
2018-05-01,81910.0,93702.0,8498.0,44526.0,252.0,68872.0
2018-10-02,178388.0,97894.0,21996.0,123080.0,80.0,101966.0
2018-05-20,844960.0,216996.0,84812.0,231302.0,84.0,397228.0
2018-10-22,274682.0,132528.0,11922.0,76722.0,174.0,144786.0
2016-01-07,184064.0,86764.0,8404.0,44852.0,136.0,92594.0
2018-11-15,1123572.0,256830.0,172568.0,360698.0,720.0,500186.0
2018-05-23,333562.0,128322.0,11724.0,100348.0,548.0,149386.0
2016-03-11,351192.0,110762.0,4312.0,116684.0,1596.0,175920.0
2016-03-18,287278.0,102740.0,8616.0,75018.0,324.0,142292.0
2016-01-05,359586.0,114890.0,13074.0,86054.0,410.0,141910.0
2016-12-06,138738.0,91616.0,13468.0,58950.0,772.0,72404.0
2018-10-04,214770.0,118644.0,8510.0,72284.0,144.0,123328.0
2016-01-28,94696.0,72914.0,3114.0,39706.0,474.0,62876.0
2016-03-02,123654.0,68362.0,6154.0,52498.0,246.0,61984.0
2018-07-02,343094.0,131208.0,18268.0,122500.0,1340.0,162578.0
2018-05-02,275028.0,135412.0,42414.0,112078.0,238.0,128962.0
2018-11-06,291678.0,116304.0,13274.0,122768.0,186.0,156074.0
2016-12-23,542820.0,152518.0,20354.0,141994.0,510.0,249116.0
2016-01-08,290812.0,88692.0,22736.0,100316.0,256.0,146302.0
2016-01-31,142220.0,78048.0,6418.0,39166.0,198.0,79874.0
2016-12-28,278504.0,103444.0,5564.0,47634.0,538.0,116886.0
2016-03-30,259098.0,99600.0,27386.0,106496.0,716.0,127964.0
2016-03-24,568580.0,157680.0,56890.0,144946.0,882.0,260406.0
2018-05-22,468934.0,127370.0,27786.0,173406.0,176.0,219298.0
2016-12-03,51374.0,57336.0,2396.0,22352.0,56.0,38398.0
2016-12-11,377920.0,140344.0,38400.0,144738.0,134.0,149008.0
2018-10-12,423788.0,171496.0,16328.0,120178.0,920.0,203672.0
2016-03-21,303034.0,102088.0,4438.0,94116.0,264.0,140302.0
2016-12-10,151358.0,79802.0,9990.0,49566.0,48.0,61842.0
