ORIGIN,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
ROA,274798,109888,20905,76071,90,164711
SMF,3711372,1278440,72371,850996,4900,2207398
SPI,178908,93180,13881,67562,366,103576
OTH,97580,19913,2172,21356,252,65758
BRW,-25823,4624,2406,4653,3611,37201
SFB,499075,312900,59521,111102,2139,220047
BFF,21076,24622,5747,10850,7,12099
ABI,130252,71670,41912,38439,211,68508
MBS,199748,118539,21168,62462,0,146269
ELM,76803,59792,7469,23263,111,49284
PHX,15462439,6309097,319756,3505191,72359,7307903
FCA,161128,121330,23141,71469,110,113963
DVL,84598,53605,20102,15379,62,29564
ABR,86204,60834,15084,11577,407,29246
STL,6374262,2107475,277276,1579013,6363,3019138
PWM,1052693,365286,57069,470258,831,511493
ABY,108209,61476,10877,15401,56,59693
BET,-18024,7687,1325,8408,9665,37118
DFW,32665142,13413096,2800288,7014484,36867,14691996
ABE,405531,208058,28775,101150,772,208141
MHT,501501,222664,24593,215384,315,302123
TXK,61750,37414,9124,19556,42,52200
GSP,1096810,454503,58753,380208,397,537888
BFM,2214,418,0,2694,0,2500
LSE,151768,82438,26300,52241,48,111261
MMH,50848,16206,3755,13941,2,29287
STX,70882,52298,419,19152,1762,61968
